SLEP;Liceo;RBD
El Pino;Centro Educacional Baldomero Lillo;10542
El Pino;Centro Educacional Matías Cousiño;10573
El Pino;Centro Educacional Municipal Mariano Latorre;9583
El Pino;Centro Educacional Padre Alberto Hurtado ;25960
El Pino;Liceo Clara Solovera;10592
El Pino;Liceo De Adultos Pucará De Chena;10584
El Pino;Liceo Elvira Brady Maldonado;10544
El Pino;Liceo Industrial Hardware;24444
El Pino;Liceo Industrial Miguel Aylwin Gajardo;10545
El Pino;Liceo Juan Gómez Millas;9688
El Pino;Liceo Polivalente A-127 Fidel Pinochet Le-Brun;10543
El Pino;Liceo Polivalente Lucila Godoy Alcayaga;10551
Licancabur;Bicentenario Agropecuario Likan Antai;12842
Licancabur;Bicentenario Politécnico Cesáreo Aguirre Goyenechea;219
Licancabur;Eleuterio Ramírez Molina;10967
Licancabur;Francisco de Aguirre;218
Licancabur;Jorge Alessandri Rodríguez;10970
Licancabur;Minero América;220
Licancabur;Politécnico Bicentenario Diego Portales Palazuelos;200
Licancabur;Polivalente Domingo Latrille;199
Licancabur;TP-HC María Elena;211
Los Libertadores;Liceo Abdón Cifuentes;10253
Los Libertadores;Complejo Educacional José Miguel Carrera;12117
Santa Corina;Centro De Educ. Tecn.Profesional Codeduc;9867
Santa Corina;Centro Educ.Munic. Dr. Amador Neghme Rodríguez;9861
Santa Corina;Liceo Bicentenario Polivalente Guillermo Feliú Cruz;9862
Santa Corina;Liceo El Llano De Maipú;9887
Santa Corina;Liceo José Ignacio Zenteno;9864
Santa Corina;Liceo Polivalente Dr. Luis Vargas Salcedo;9865
Santa Corina;Liceo Reino De Dinamarca;9889
Santa Corina;Liceo Tecnológico Bicentenario Enrique Kirberg Baltiansky;31065
Santa Rosa;Centro Educacional Cardenal José María Caro;9690
Santa Rosa;Centro Educacional Mirador;9608
Santa Rosa;Centro Educacional Municipal San Ramón;9601
Santa Rosa;Escuela Consolidada Dávila;9410
Santa Rosa;Liceo Municipal Purkuyen;9599
Santa Rosa;Liceo Politécnico Ciencia Y Tecnología;9693
Santa Rosa;Liceo Polivalente;9697
Santa Rosa;Liceo Polivalente Eugenio Pereira Salas;9695
