pregunta;competencia;subcompetencia;dimension
P1;1. Desarrollo Profesional Docente;Liderazgo en Actualización de Conocimientos;Saber
P2;1. Desarrollo Profesional Docente;Liderazgo en Actualización de Conocimientos;Hacer
P3;1. Desarrollo Profesional Docente;Liderazgo en Actualización de Conocimientos;Hacer
P4;1. Desarrollo Profesional Docente;Liderazgo en Actualización de Conocimientos;Aplicar
P5;1. Desarrollo Profesional Docente;Orientación Didáctica Específica;Saber
P6;1. Desarrollo Profesional Docente;Orientación Didáctica Específica;Hacer
P7;1. Desarrollo Profesional Docente;Orientación Didáctica Específica;Aplicar
P8;1. Desarrollo Profesional Docente;Orientación Didáctica Específica;Aplicar
P9;1. Desarrollo Profesional Docente;Institucionalización del Trabajo Colaborativo;Hacer
P10;1. Desarrollo Profesional Docente;Institucionalización del Trabajo Colaborativo;Hacer
P11;1. Desarrollo Profesional Docente;Institucionalización del Trabajo Colaborativo;Aplicar
P12;1. Desarrollo Profesional Docente;Institucionalización del Trabajo Colaborativo;Saber
P13;2. Gestión Estratégica del Currículum;Pertinencia Territorial;Saber
P14;2. Gestión Estratégica del Currículum;Pertinencia Territorial;Hacer
P15;2. Gestión Estratégica del Currículum;Pertinencia Territorial;Hacer
P16;2. Gestión Estratégica del Currículum;Pertinencia Territorial;Aplicar
P17;2. Gestión Estratégica del Currículum;Conducción del Sello Institucional;Hacer
P18;2. Gestión Estratégica del Currículum;Conducción del Sello Institucional;Hacer
P19;2. Gestión Estratégica del Currículum;Conducción del Sello Institucional;Aplicar
P20;2. Gestión Estratégica del Currículum;Conducción del Sello Institucional;Aplicar
P21;2. Gestión Estratégica del Currículum;Operacionalización del Perfil de Egreso;Saber
P22;2. Gestión Estratégica del Currículum;Operacionalización del Perfil de Egreso;Hacer
P23;2. Gestión Estratégica del Currículum;Operacionalización del Perfil de Egreso;Aplicar
P24;2. Gestión Estratégica del Currículum;Operacionalización del Perfil de Egreso;Aplicar
P25;3. Gestión Integral Técnico-Pedagógica;Articulación Curricular FG-FD;Saber
P26;3. Gestión Integral Técnico-Pedagógica;Articulación Curricular FG-FD;Aplicar
P27;3. Gestión Integral Técnico-Pedagógica;Articulación Curricular FG-FD;Hacer
P28;3. Gestión Integral Técnico-Pedagógica;Articulación Curricular FG-FD;Aplicar
P29;3. Gestión Integral Técnico-Pedagógica;Diseño, Planificación y Secuencia;Hacer
P30;3. Gestión Integral Técnico-Pedagógica;Diseño, Planificación y Secuencia;Aplicar
P31;3. Gestión Integral Técnico-Pedagógica;Diseño, Planificación y Secuencia;Hacer
P32;3. Gestión Integral Técnico-Pedagógica;Diseño, Planificación y Secuencia;Aplicar
P33;3. Gestión Integral Técnico-Pedagógica;Monitoreo y Gestión del Proceso;Hacer
P34;3. Gestión Integral Técnico-Pedagógica;Monitoreo y Gestión del Proceso;Aplicar
P35;3. Gestión Integral Técnico-Pedagógica;Monitoreo y Gestión del Proceso;Aplicar
P36;3. Gestión Integral Técnico-Pedagógica;Monitoreo y Gestión del Proceso;Aplicar
