pregunta;modulo;submodulo;dimension
P1;1. Gestión del Levantamiento de Necesidades;1.1. Identificación;Uso/Existencia
P2;1. Gestión del Levantamiento de Necesidades;1.1. Identificación;Trazabilidad/Calidad
P3;1. Gestión del Levantamiento de Necesidades;1.2. Integración;Uso/Existencia
P4;1. Gestión del Levantamiento de Necesidades;1.2. Integración;Trazabilidad/Calidad
P5;2. Priorización e Inversión;2.1. Criterios;Uso/Existencia
P6;2. Priorización e Inversión;2.1. Criterios;Trazabilidad/Calidad
P7;2. Priorización e Inversión;2.2. Aprobación;Uso/Existencia
P8;2. Priorización e Inversión;2.2. Aprobación;Trazabilidad/Calidad
P9;3. Gestión Financiero-Presupuestaria;3.1. Planificación;Uso/Existencia
P10;3. Gestión Financiero-Presupuestaria;3.1. Planificación;Trazabilidad/Calidad
P11;3. Gestión Financiero-Presupuestaria;3.2. Ejecución;Uso/Existencia
P12;3. Gestión Financiero-Presupuestaria;3.2. Ejecución;Trazabilidad/Calidad
P13;4. Estándares Técnicos;4.1. Definición;Uso/Existencia
P14;4. Estándares Técnicos;4.1. Definición;Trazabilidad/Calidad
P15;4. Estándares Técnicos;4.2. Verificación;Uso/Existencia
P16;4. Estándares Técnicos;4.2. Verificación;Trazabilidad/Calidad
