SLEP,Establecimiento Educativo,N_Respuestas,Tiene_Director,Tiene_UTP,Tiene_Coord_EMTP,Tiene_Otro,Respuesta_Completa,N_Cargos_Esperados
El Pino,Liceo De Adultos Pucará De Chena,2,TRUE,FALSE,TRUE,FALSE,FALSE,2
El Pino,Liceo Industrial Miguel Aylwin Gajardo,2,TRUE,FALSE,TRUE,FALSE,FALSE,2
El Pino,Liceo Polivalente Lucila Godoy Alcayaga,2,TRUE,TRUE,FALSE,FALSE,FALSE,2
El Pino,Centro Educacional Baldomero Lillo,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
El Pino,Centro Educacional Municipal Mariano Latorre,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
El Pino,Liceo Clara Solovera,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
El Pino,Liceo Elvira Brady Maldonado,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
El Pino,Liceo Industrial Hardware,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
El Pino,Liceo Juan Gómez Millas,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
El Pino,Liceo Polivalente A-127 Fidel Pinochet Le-Brun,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
Licancabur,Bicentenario Politécnico Cesáreo Aguirre Goyenechea,9,TRUE,TRUE,TRUE,TRUE,TRUE,3
Licancabur,Eleuterio Ramírez Molina,7,TRUE,TRUE,TRUE,TRUE,TRUE,3
Licancabur,Francisco de Aguirre,9,TRUE,TRUE,TRUE,TRUE,TRUE,3
Licancabur,Jorge Alessandri Rodríguez,3,TRUE,TRUE,TRUE,FALSE,TRUE,3
Licancabur,Minero América,3,FALSE,TRUE,TRUE,FALSE,FALSE,2
Licancabur,Politécnico Bicentenario Diego Portales Palazuelos,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
Los Libertadores,Liceo Abdón Cifuentes,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
Santa Corina,Centro Educ.Munic. Dr. Amador Neghme Rodríguez,2,FALSE,TRUE,TRUE,FALSE,FALSE,2
Santa Corina,Liceo Bicentenario Polivalente Guillermo Feliú Cruz,2,TRUE,FALSE,TRUE,FALSE,FALSE,2
Santa Corina,Liceo Tecnológico Bicentenario Enrique Kirberg Baltiansky,2,FALSE,TRUE,TRUE,FALSE,FALSE,2
Santa Corina,Centro De Educ. Tecn.Profesional Codeduc,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
Santa Corina,Liceo El Llano De Maipú,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
Santa Corina,Liceo José Ignacio Zenteno,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
Santa Corina,Liceo Polivalente Dr. Luis Vargas Salcedo,2,TRUE,FALSE,FALSE,TRUE,FALSE,1
Santa Corina,Liceo Reino De Dinamarca,2,FALSE,FALSE,TRUE,TRUE,FALSE,1
Santa Rosa,Liceo Politécnico Ciencia Y Tecnología,4,TRUE,TRUE,TRUE,TRUE,TRUE,3
Santa Rosa,Liceo Polivalente Eugenio Pereira Salas,3,TRUE,TRUE,TRUE,FALSE,TRUE,3
Santa Rosa,Centro Educacional Cardenal José María Caro,2,TRUE,FALSE,TRUE,FALSE,FALSE,2
Santa Rosa,Centro Educacional Mirador,4,TRUE,TRUE,FALSE,TRUE,FALSE,2
Santa Rosa,Centro Educacional Municipal San Ramón,2,TRUE,TRUE,FALSE,FALSE,FALSE,2
Santa Rosa,Escuela Consolidada Dávila,2,TRUE,FALSE,TRUE,FALSE,FALSE,2
Santa Rosa,Liceo Municipal Purkuyen,3,TRUE,TRUE,FALSE,TRUE,FALSE,2
Santa Rosa,Liceo Polivalente,2,TRUE,FALSE,TRUE,FALSE,FALSE,2
