Pregunta_N,Dimension,Subdimension,Competencia,Licancabur,El Pino,Santa Rosa,Santa Corina,Los Libertadores,General
1,1. Desarrollo profesional docente,Liderazgo en Actualización de Conocimientos,Saber,3.47,2.85,2.89,2.82,2,3.03
2,1. Desarrollo profesional docente,Liderazgo en Actualización de Conocimientos,Hacer,3.77,3.46,3.7,2.73,4,3.51
3,1. Desarrollo profesional docente,Liderazgo en Actualización de Conocimientos,Hacer,3.67,3.33,3.45,3.2,3,3.44
4,1. Desarrollo profesional docente,Liderazgo en Actualización de Conocimientos,Hacer,3.6,3.42,3.19,3.31,3,3.37
5,1. Desarrollo profesional docente,Orientación Didáctica Específica,Saber,3.98,2.5,3.45,2.75,2,3.28
6,1. Desarrollo profesional docente,Orientación Didáctica Específica,Hacer,3.69,3,3.48,2.69,1,3.27
7,1. Desarrollo profesional docente,Orientación Didáctica Específica,Hacer,3.8,3.42,3.33,2.33,2,3.28
8,1. Desarrollo profesional docente,Orientación Didáctica Específica,Aplicar,3.39,3.08,3.29,2.77,1,3.14
9,1. Desarrollo profesional docente,Institucionalización del Trabajo Colaborativo,Hacer,3.73,3.33,3.71,3.15,2,3.52
10,1. Desarrollo profesional docente,Institucionalización del Trabajo Colaborativo,Hacer,3.72,3.5,3.86,3,4,3.59
11,1. Desarrollo profesional docente,Institucionalización del Trabajo Colaborativo,Aplicar,3.25,3,3.37,2.62,3,3.1
12,1. Desarrollo profesional docente,Institucionalización del Trabajo Colaborativo,Saber,3.8,3.08,3.71,3.17,4,3.53
13,2. Gestión estratégica del currículum,Pertinencia Territorial,Saber,3.96,2.92,3.32,2.92,3,3.33
14,2. Gestión estratégica del currículum,Pertinencia Territorial,Hacer,3.79,2,2.35,2.17,NA,2.7
15,2. Gestión estratégica del currículum,Pertinencia Territorial,Hacer,2.83,1.92,2.32,1.64,2,2.26
16,2. Gestión estratégica del currículum,Pertinencia Territorial,Aplicar,2.78,1.17,2.11,1.58,NA,2.01
17,2. Gestión estratégica del currículum,Conducción del Sello Institucional,Hacer,4.1,2.5,3.52,3.31,2,3.42
18,2. Gestión estratégica del currículum,Conducción del Sello Institucional,Aplicar,3.54,2.36,3.16,2.92,3,3.08
19,2. Gestión estratégica del currículum,Conducción del Sello Institucional,Aplicar,3.43,2.54,2.79,2.12,NA,2.86
20,2. Gestión estratégica del currículum,Conducción del Sello Institucional,Aplicar,3.62,2.5,3.33,2.58,3,3.12
21,2. Gestión estratégica del currículum,Operacionalización del Perfil de Egreso,Saber,3.4,2.36,2.75,2.83,NA,2.88
22,2. Gestión estratégica del currículum,Operacionalización del Perfil de Egreso,Hacer,3.29,3.36,3.55,3.33,3,3.39
23,2. Gestión estratégica del currículum,Operacionalización del Perfil de Egreso,Aplicar,3.24,2.5,3.26,3,3,3.08
24,2. Gestión estratégica del currículum,Operacionalización del Perfil de Egreso,Aplicar,3.32,2.25,3.32,2.1,3,2.9
25,3. Gestión integral técnico-pedagógica,Articulación Curricular FG-FD,Saber,3.82,3.44,3.73,3.46,3.67,3.65
26,3. Gestión integral técnico-pedagógica,Articulación Curricular FG-FD,Hacer,3.53,2.78,3.13,2.58,2.33,3.05
27,3. Gestión integral técnico-pedagógica,Articulación Curricular FG-FD,Hacer,3.46,2.33,3.22,2.33,NA,2.99
28,3. Gestión integral técnico-pedagógica,Articulación Curricular FG-FD,Aplicar,3.23,2.45,3.25,2.11,2.33,2.87
29,3. Gestión integral técnico-pedagógica,"Diseño, Planificación y Secuencia",Hacer,3.8,2.94,3.2,3,2.33,3.29
30,3. Gestión integral técnico-pedagógica,"Diseño, Planificación y Secuencia",Aplicar,3.76,3.3,3.8,3,3.67,3.55
31,3. Gestión integral técnico-pedagógica,"Diseño, Planificación y Secuencia",Hacer,3.65,3.05,3.35,2.64,2.33,3.21
32,3. Gestión integral técnico-pedagógica,"Diseño, Planificación y Secuencia",Aplicar,3.65,2.94,3.67,3.67,NA,3.53
33,3. Gestión integral técnico-pedagógica,Monitoreo y Gestión del Proceso,Aplicar,3.85,3.06,3.86,3.46,2.33,3.62
34,3. Gestión integral técnico-pedagógica,Monitoreo y Gestión del Proceso,Aplicar,4.01,3.33,3.86,3.55,2.33,3.73
35,3. Gestión integral técnico-pedagógica,Monitoreo y Gestión del Proceso,Aplicar,3.49,2.22,3.07,2.67,2.33,2.96
36,3. Gestión integral técnico-pedagógica,Monitoreo y Gestión del Proceso,Aplicar,3.86,3.11,3.79,2.87,3.67,3.53
