Pregunta_N,Dimension,Subdimension,Competencia,N_El Pino,N_Licancabur,N_Los Libertadores,N_Santa Corina,N_Santa Rosa,N_General
1,1. Desarrollo profesional docente,Liderazgo en Actualización de Conocimientos,Saber,13,30,1,11,20,75
2,1. Desarrollo profesional docente,Liderazgo en Actualización de Conocimientos,Hacer,13,30,1,11,21,76
3,1. Desarrollo profesional docente,Liderazgo en Actualización de Conocimientos,Hacer,12,28,1,10,21,72
4,1. Desarrollo profesional docente,Liderazgo en Actualización de Conocimientos,Hacer,12,30,1,13,22,78
5,1. Desarrollo profesional docente,Orientación Didáctica Específica,Saber,12,27,1,12,21,73
6,1. Desarrollo profesional docente,Orientación Didáctica Específica,Hacer,11,29,1,13,22,76
7,1. Desarrollo profesional docente,Orientación Didáctica Específica,Hacer,12,28,1,12,22,75
8,1. Desarrollo profesional docente,Orientación Didáctica Específica,Aplicar,13,29,1,13,22,78
9,1. Desarrollo profesional docente,Institucionalización del Trabajo Colaborativo,Hacer,12,31,1,13,22,79
10,1. Desarrollo profesional docente,Institucionalización del Trabajo Colaborativo,Hacer,12,31,1,13,22,79
11,1. Desarrollo profesional docente,Institucionalización del Trabajo Colaborativo,Aplicar,12,28,1,13,20,74
12,1. Desarrollo profesional docente,Institucionalización del Trabajo Colaborativo,Saber,12,30,1,12,22,77
13,2. Gestión estratégica del currículum,Pertinencia Territorial,Saber,12,25,1,12,20,70
14,2. Gestión estratégica del currículum,Pertinencia Territorial,Hacer,12,26,0,12,18,68
15,2. Gestión estratégica del currículum,Pertinencia Territorial,Hacer,12,27,1,11,20,71
16,2. Gestión estratégica del currículum,Pertinencia Territorial,Aplicar,12,23,0,12,19,66
17,2. Gestión estratégica del currículum,Conducción del Sello Institucional,Hacer,12,27,1,13,22,75
18,2. Gestión estratégica del currículum,Conducción del Sello Institucional,Aplicar,11,26,1,12,20,70
19,2. Gestión estratégica del currículum,Conducción del Sello Institucional,Aplicar,13,30,0,8,20,71
20,2. Gestión estratégica del currículum,Conducción del Sello Institucional,Aplicar,12,29,1,12,21,75
21,2. Gestión estratégica del currículum,Operacionalización del Perfil de Egreso,Saber,11,24,0,12,21,68
22,2. Gestión estratégica del currículum,Operacionalización del Perfil de Egreso,Hacer,11,30,1,12,21,75
23,2. Gestión estratégica del currículum,Operacionalización del Perfil de Egreso,Aplicar,10,29,1,12,20,72
24,2. Gestión estratégica del currículum,Operacionalización del Perfil de Egreso,Aplicar,12,26,1,10,20,69
25,3. Gestión integral técnico-pedagógica,Articulación Curricular FG-FD,Saber,12,30,1,13,21,77
26,3. Gestión integral técnico-pedagógica,Articulación Curricular FG-FD,Hacer,12,25,1,11,21,70
27,3. Gestión integral técnico-pedagógica,Articulación Curricular FG-FD,Hacer,11,28,0,10,22,71
28,3. Gestión integral técnico-pedagógica,Articulación Curricular FG-FD,Aplicar,11,28,1,12,20,72
29,3. Gestión integral técnico-pedagógica,"Diseño, Planificación y Secuencia",Hacer,11,30,1,12,21,75
30,3. Gestión integral técnico-pedagógica,"Diseño, Planificación y Secuencia",Aplicar,11,28,1,12,21,73
31,3. Gestión integral técnico-pedagógica,"Diseño, Planificación y Secuencia",Hacer,13,27,1,13,18,72
32,3. Gestión integral técnico-pedagógica,"Diseño, Planificación y Secuencia",Aplicar,11,27,0,12,21,71
33,3. Gestión integral técnico-pedagógica,Monitoreo y Gestión del Proceso,Aplicar,11,31,1,13,22,78
34,3. Gestión integral técnico-pedagógica,Monitoreo y Gestión del Proceso,Aplicar,12,30,1,11,22,76
35,3. Gestión integral técnico-pedagógica,Monitoreo y Gestión del Proceso,Aplicar,12,28,1,12,21,74
36,3. Gestión integral técnico-pedagógica,Monitoreo y Gestión del Proceso,Aplicar,12,28,1,10,22,73
