Pregunta_N,Dimension,Subdimension,Competencia,NoInfo_El Pino,NoInfo_Licancabur,NoInfo_Los Libertadores,NoInfo_Santa Corina,NoInfo_Santa Rosa,NoInfo_General
1,1. Desarrollo profesional docente,Liderazgo en Actualización de Conocimientos,Saber,0,6.2,0,15.4,9.1,7.4
2,1. Desarrollo profesional docente,Liderazgo en Actualización de Conocimientos,Hacer,0,6.2,0,15.4,4.5,6.2
3,1. Desarrollo profesional docente,Liderazgo en Actualización de Conocimientos,Hacer,7.7,12.5,0,23.1,4.5,11.1
4,1. Desarrollo profesional docente,Liderazgo en Actualización de Conocimientos,Hacer,7.7,6.2,0,0,0,3.7
5,1. Desarrollo profesional docente,Orientación Didáctica Específica,Saber,7.7,15.6,0,7.7,4.5,9.9
6,1. Desarrollo profesional docente,Orientación Didáctica Específica,Hacer,15.4,9.4,0,0,0,6.2
7,1. Desarrollo profesional docente,Orientación Didáctica Específica,Hacer,7.7,12.5,0,7.7,0,7.4
8,1. Desarrollo profesional docente,Orientación Didáctica Específica,Aplicar,0,9.4,0,0,0,3.7
9,1. Desarrollo profesional docente,Institucionalización del Trabajo Colaborativo,Hacer,7.7,3.1,0,0,0,2.5
10,1. Desarrollo profesional docente,Institucionalización del Trabajo Colaborativo,Hacer,7.7,3.1,0,0,0,2.5
11,1. Desarrollo profesional docente,Institucionalización del Trabajo Colaborativo,Aplicar,7.7,12.5,0,0,9.1,8.6
12,1. Desarrollo profesional docente,Institucionalización del Trabajo Colaborativo,Saber,7.7,6.2,0,7.7,0,4.9
13,2. Gestión estratégica del currículum,Pertinencia Territorial,Saber,7.7,21.9,0,7.7,9.1,13.6
14,2. Gestión estratégica del currículum,Pertinencia Territorial,Hacer,7.7,18.8,100,7.7,18.2,16
15,2. Gestión estratégica del currículum,Pertinencia Territorial,Hacer,7.7,15.6,0,15.4,9.1,12.3
16,2. Gestión estratégica del currículum,Pertinencia Territorial,Aplicar,7.7,28.1,100,7.7,13.6,18.5
17,2. Gestión estratégica del currículum,Conducción del Sello Institucional,Hacer,7.7,15.6,0,0,0,7.4
18,2. Gestión estratégica del currículum,Conducción del Sello Institucional,Aplicar,15.4,18.8,0,7.7,9.1,13.6
19,2. Gestión estratégica del currículum,Conducción del Sello Institucional,Aplicar,0,6.2,100,38.5,9.1,12.3
20,2. Gestión estratégica del currículum,Conducción del Sello Institucional,Aplicar,7.7,9.4,0,7.7,4.5,7.4
21,2. Gestión estratégica del currículum,Operacionalización del Perfil de Egreso,Saber,15.4,25,100,7.7,4.5,16
22,2. Gestión estratégica del currículum,Operacionalización del Perfil de Egreso,Hacer,15.4,6.2,0,7.7,4.5,7.4
23,2. Gestión estratégica del currículum,Operacionalización del Perfil de Egreso,Aplicar,23.1,9.4,0,7.7,9.1,11.1
24,2. Gestión estratégica del currículum,Operacionalización del Perfil de Egreso,Aplicar,7.7,18.8,0,23.1,9.1,14.8
25,3. Gestión integral técnico-pedagógica,Articulación Curricular FG-FD,Saber,7.7,6.2,0,0,4.5,4.9
26,3. Gestión integral técnico-pedagógica,Articulación Curricular FG-FD,Hacer,7.7,21.9,0,15.4,4.5,13.6
27,3. Gestión integral técnico-pedagógica,Articulación Curricular FG-FD,Hacer,15.4,12.5,100,23.1,0,12.3
28,3. Gestión integral técnico-pedagógica,Articulación Curricular FG-FD,Aplicar,15.4,12.5,0,7.7,9.1,11.1
29,3. Gestión integral técnico-pedagógica,"Diseño, Planificación y Secuencia",Hacer,15.4,6.2,0,7.7,4.5,7.4
30,3. Gestión integral técnico-pedagógica,"Diseño, Planificación y Secuencia",Aplicar,15.4,12.5,0,7.7,4.5,9.9
31,3. Gestión integral técnico-pedagógica,"Diseño, Planificación y Secuencia",Hacer,0,15.6,0,0,18.2,11.1
32,3. Gestión integral técnico-pedagógica,"Diseño, Planificación y Secuencia",Aplicar,15.4,15.6,100,7.7,4.5,12.3
33,3. Gestión integral técnico-pedagógica,Monitoreo y Gestión del Proceso,Aplicar,15.4,3.1,0,0,0,3.7
34,3. Gestión integral técnico-pedagógica,Monitoreo y Gestión del Proceso,Aplicar,7.7,6.2,0,15.4,0,6.2
35,3. Gestión integral técnico-pedagógica,Monitoreo y Gestión del Proceso,Aplicar,7.7,12.5,0,7.7,4.5,8.6
36,3. Gestión integral técnico-pedagógica,Monitoreo y Gestión del Proceso,Aplicar,7.7,12.5,0,23.1,0,9.9
