Pregunta_N,Modulo,Licancabur,El Pino,Santa Rosa,Santa Corina,Los Libertadores,General
1,M1. Levantamiento de Necesidades,3.076923076923077,2.5,2.4285714285714284,1.9,2,2.5
2,M1. Levantamiento de Necesidades,3.1538461538461537,2.888888888888889,2.7333333333333334,2.75,2,2.8645833333333335
3,M1. Levantamiento de Necesidades,3,1.875,1.75,2,1,2.1818181818181817
4,M1. Levantamiento de Necesidades,3.107142857142857,2.2222222222222223,2.4615384615384617,2.7222222222222223,2,2.652173913043478
5,M2. Priorización y Criterios,2.875,1.75,2.1666666666666665,2.0625,NA,2.275
6,M2. Priorización y Criterios,3.076923076923077,2.4285714285714284,2.6,2.4285714285714284,NA,2.7027027027027026
7,M2. Priorización y Criterios,2.857142857142857,2.375,2.125,2.5555555555555554,3,2.55
8,M2. Priorización y Criterios,2.727272727272727,2,1.5454545454545454,2.4285714285714284,NA,2.166666666666667
9,M3. Planificación y Monitoreo,2.1363636363636362,2.125,1.9,2.25,NA,2.0945945945945947
10,M3. Planificación y Monitoreo,2.576923076923077,1.8571428571428572,2,1.7142857142857142,NA,2.1323529411764706
11,M3. Planificación y Monitoreo,2.5454545454545454,1.75,1.5,1.4,NA,1.837837837837838
12,M3. Planificación y Monitoreo,2.875,2.6666666666666665,2.3076923076923075,2.625,NA,2.607142857142857
13,M4. Especificaciones y Verificación,2.3181818181818183,2.125,1.9,1.4,NA,1.9358974358974357
14,M4. Especificaciones y Verificación,2.772727272727273,2.142857142857143,1.7272727272727273,2.5,NA,2.2894736842105265
15,M4. Especificaciones y Verificación,2.5,1.8888888888888888,1.3461538461538463,1.5555555555555556,NA,1.8095238095238095
16,M4. Especificaciones y Verificación,2.7142857142857144,1.7777777777777777,1.5555555555555556,1.6111111111111112,NA,2.0121951219512195
