Pregunta_N,Modulo,Licancabur,El Pino,Santa Rosa,Santa Corina,Los Libertadores,General
1,M1. Levantamiento de Necesidades,17,10,15,11,1,54
2,M1. Levantamiento de Necesidades,16,9,16,11,1,53
3,M1. Levantamiento de Necesidades,16,8,13,11,1,49
4,M1. Levantamiento de Necesidades,18,9,14,10,1,52
5,M2. Priorización y Criterios,16,8,13,9,0,46
6,M2. Priorización y Criterios,15,7,11,8,0,41
7,M2. Priorización y Criterios,17,8,9,10,1,45
8,M2. Priorización y Criterios,14,7,12,7,0,40
9,M3. Planificación y Monitoreo,14,8,11,8,0,41
10,M3. Planificación y Monitoreo,16,7,7,8,0,38
11,M3. Planificación y Monitoreo,14,8,8,10,0,40
12,M3. Planificación y Monitoreo,15,9,14,9,0,47
13,M4. Especificaciones y Verificación,14,8,11,10,0,43
14,M4. Especificaciones y Verificación,13,7,12,10,0,42
15,M4. Especificaciones y Verificación,14,9,14,10,0,47
16,M4. Especificaciones y Verificación,17,9,9,10,0,45
