Pregunta_N,Modulo,Licancabur,El Pino,Santa Rosa,Santa Corina,Los Libertadores,General
1,M1. Levantamiento de Necesidades,15,9.1,6.2,0,0,8.5
2,M1. Levantamiento de Necesidades,20,18.2,0,0,0,10.2
3,M1. Levantamiento de Necesidades,20,27.3,18.8,0,0,16.9
4,M1. Levantamiento de Necesidades,10,18.2,12.5,9.1,0,11.9
5,M2. Priorización y Criterios,20,27.3,18.8,18.2,100,22
6,M2. Priorización y Criterios,25,36.4,31.2,27.3,100,30.5
7,M2. Priorización y Criterios,15,27.3,43.8,9.1,0,23.7
8,M2. Priorización y Criterios,30,36.4,25,36.4,100,32.2
9,M3. Planificación y Monitoreo,30,27.3,31.2,27.3,100,30.5
10,M3. Planificación y Monitoreo,20,36.4,56.2,27.3,100,35.6
11,M3. Planificación y Monitoreo,30,27.3,50,9.1,100,32.2
12,M3. Planificación y Monitoreo,25,18.2,12.5,18.2,100,20.3
13,M4. Especificaciones y Verificación,30,27.3,31.2,9.1,100,27.1
14,M4. Especificaciones y Verificación,35,36.4,25,9.1,100,28.8
15,M4. Especificaciones y Verificación,30,18.2,12.5,9.1,100,20.3
16,M4. Especificaciones y Verificación,15,18.2,43.8,9.1,100,23.7
