"rbd","tasa_asistencia_promedio","n_estudiantes","SLEP","Liceo","Comuna"
10542,0.752312141341738,780,"El Pino","Centro Educacional Baldomero Lillo","San Bernardo"
10573,0.867821215841396,171,"El Pino","Centro Educacional Matías Cousiño","El Bosque"
9583,0.621283788684893,662,"El Pino","Centro Educacional Municipal Mariano Latorre","La Pintana"
25960,0.812765457602018,1147,"El Pino","Centro Educacional Padre Alberto Hurtado","San Bernardo"
10592,0.799757936149831,537,"El Pino","Liceo Clara Solovera","San Bernardo"
10584,0.66551516808134,523,"El Pino","Liceo De Adultos Pucará De Chena","San Bernardo"
10544,0.757129865861426,912,"El Pino","Liceo Elvira Brady Maldonado","San Bernardo"
24444,0.702892172035075,314,"El Pino","Liceo Industrial Hardware","San Bernardo"
10545,0.750030083336556,419,"El Pino","Liceo Industrial Miguel Aylwin Gajardo","San Bernardo"
9688,0.831076980464983,660,"El Pino","Liceo Juan Gómez Millas","El Bosque"
10543,0.773127509381884,548,"El Pino","Liceo Polivalente A-127 Fidel Pinochet Le-Brun","San Bernardo"
10551,0.7627067031062,341,"El Pino","Liceo Polivalente Lucila Godoy Alcayaga","San Bernardo"
12842,0.913221936903624,704,"Licancabur","Bicentenario Agropecuario Likan Antai","San Pedro de Atacama"
219,0.934557837445694,1129,"Licancabur","Bicentenario Politécnico Cesáreo Aguirre Goyenechea","Calama"
10967,0.901794873898735,613,"Licancabur","Eleuterio Ramírez Molina","Calama"
218,0.852118899668555,529,"Licancabur","Francisco de Aguirre","Calama"
10970,0.848340860947805,1132,"Licancabur","Jorge Alessandri Rodríguez","Calama"
220,0.844695483752885,1044,"Licancabur","Minero América","Calama"
200,0.860801751896152,728,"Licancabur","Politécnico Bicentenario Diego Portales Palazuelos","Tocopilla"
199,0.761580326604502,760,"Licancabur","Polivalente Domingo Latrille","Tocopilla"
211,0.84419541770582,316,"Licancabur","TP-HC María Elena","Maria Elena"
12117,0.796834135411702,770,"Los Libertadores","Complejo Educacional José Miguel Carrera","Quilicura"
10253,0.827894786869863,1148,"Los Libertadores","Liceo Abdón Cifuentes","Conchalí"
9867,0.795417303063226,817,"Santa Corina","Centro De Educ. Tecn.Profesional Codeduc","Maipú"
9861,0.719016612006944,979,"Santa Corina","Centro Educ.Munic. Dr. Amador Neghme Rodríguez","Estación Central"
9862,0.789985547702251,677,"Santa Corina","Liceo Bicentenario Polivalente Guillermo Feliú Cruz","Estación Central"
9887,0.742173587458337,160,"Santa Corina","Liceo El Llano De Maipú","Maipú"
9864,0.772709028060098,450,"Santa Corina","Liceo José Ignacio Zenteno","Maipú"
9865,0.699846125886386,913,"Santa Corina","Liceo Polivalente Dr. Luis Vargas Salcedo","Cerrillos"
9889,0.813874998910506,634,"Santa Corina","Liceo Reino De Dinamarca","Maipú"
31065,0.840959265216892,749,"Santa Corina","Liceo Tecnológico Bicentenario Enrique Kirberg Baltiansky","Maipú"
9690,0.651253322772901,332,"Santa Rosa","Centro Educacional Cardenal José María Caro","Lo Espejo"
9608,0.841402133390376,136,"Santa Rosa","Centro Educacional Mirador","San Ramón"
9601,0.803097356041777,338,"Santa Rosa","Centro Educacional Municipal San Ramón","San Ramón"
9410,0.786066810681822,435,"Santa Rosa","Escuela Consolidada Dávila","Pedro Aguirre Cerda"
9599,0.799513014846229,436,"Santa Rosa","Liceo Municipal Purkuyen","San Ramón"
9693,0.781069068398836,866,"Santa Rosa","Liceo Politécnico Ciencia Y Tecnología","La Cisterna"
9697,0.807657049634889,449,"Santa Rosa","Liceo Polivalente","Lo Espejo"
9695,0.817644132820865,603,"Santa Rosa","Liceo Polivalente Eugenio Pereira Salas","Pedro Aguirre Cerda"
